Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Description__c,Type__c
a0VB0000001MgdLMAS,005B0000005GeB0IAK,,Lightning Sandbox,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdMMAS,005B0000005GeB0IAK,,Lightning Web Components,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:39:12.000+0000,005B0000005GeB0IAK,2020-02-21T00:39:12.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdNMAS,005B0000005GeB0IAK,,Mobile Publisher,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdOMAS,005B0000005GeB0IAK,,Mobile SDK,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdPMAS,005B0000005GeB0IAK,,Object Creator,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdRMAS,005B0000005GeB0IAK,,Permissions/Profiles,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdSMAS,005B0000005GeB0IAK,,Platform Encryption,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdTMAS,005B0000005GeB0IAK,,Platform Events,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdUMAS,005B0000005GeB0IAK,,Prediction Builder,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdVMAS,005B0000005GeB0IAK,,Process Builder,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdWMAS,005B0000005GeB0IAK,,Quick Actions,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdXMAS,005B0000005GeB0IAK,,Quip for Salesforce,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdYMAS,005B0000005GeB0IAK,,Reports and Dashboards,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdZMAS,005B0000005GeB0IAK,,Salesforce CMS,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdaMAC,005B0000005GeB0IAK,,Salesforce DX CLI,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdbMAC,005B0000005GeB0IAK,,Salesforce Mobile,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdcMAC,005B0000005GeB0IAK,,Sandbox,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:40.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:40.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgddMAC,005B0000005GeB0IAK,,Search,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:40.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:40.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdeMAC,005B0000005GeB0IAK,,Sustainability Cloud,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:40.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:40.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdfMAC,005B0000005GeB0IAK,,Standard Lightning Components,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:40.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:40.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdgMAC,005B0000005GeB0IAK,,Translation/Labels,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:40.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:40.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdhMAC,005B0000005GeB0IAK,,VSCode Extensions,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:40.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:40.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdiMAC,005B0000005GeB0IAK,,Salesforce Release Notes,2020-02-20T21:08:16.000+0000,005B0000005GeB0IAK,2020-02-20T21:08:16.000+0000,005B0000005GeB0IAK,2020-02-20T21:08:16.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Research Topic
